hash,message,.text,.data,.bss
f7e47f4,lib-feat: added 'heapless' dependency,5998,0,14
3134e61,feat: menu item editable,5998,0,14
d04a858,feat: introduced 'Widget' trait,5722,0,14
f09ffa6,minor change,4780,0,14
c7a93b8,feat: introduced double buffer swap for lcd display,4742,0,14
245da27,refactor: simplification,4060,0,9
c17d3d7,feat: field widget now blinks char at cursor,3492,0,9
0cab00f,feat: key pressed beep,3098,0,9
2128593,feat: added debounce time to keyboard key pressed,3212,0,9
f8aea3a,minor fix,2606,0,9
a2794e8,minor change: changed entry point,2606,0,9
5a4db78,timer frequency changed from 1hz to 1khz,1162,0,9
ee76d93,feat: introduced 'now()' function mechanism,1162,0,9
9fba92d,temp: preparing to add timer to project,1120,0,9
7117ed3,reafactor: menu lcd (temp),2490,0,9
88c63c0,feat: introduced front_panel controller,994,0,9
1371c51,feat: introduced seminal structural elements for lcd menu module,1852,0,9
5814a29,refactor: make keyboard api public,774,0,9
938d8ce,bugfix,774,0,9
5c9b165,minor change,774,0,9
6c00f38,menu development setup,774,0,9
871f89b,feat/test: very simple memory allocator; and vec! test,1048,0,209
455f781,test: of Reader ADT executing on AVR target,772,0,9
075f09f,feat: Added Dummy custom memory allocator for avr target,772,0,9
615330e,refactor: sub-module extraction,772,0,9
3bf7580,feat: introduced Reader abstract data type,772,0,9
71e7911,feat: introduced profunctor algebraic data type,772,0,9
159261b,feat: introduced cmpp device memory map file,1810,216,9
a0dcfd6,removed unused file,1810,216,9
329f88f,feat: transport layer transaction package function,1810,216,9
0e4fb90,refactor: type renaming,1810,216,9
ccca961,feat: transport layer frame construction,1810,216,9
2b3e7d5,feat: improved channel type,1810,216,9
176e95f,refactor: Channel type extraction,1810,216,9
10a30da,feat: introduced transact packat function,1810,216,9
a6d57ba,chore: file renaming,1810,216,9
323d67e,feat: introduced bitmask type indirection,1810,216,9
1f71ec4,feat: introduced word16 type,1810,216,9
d013f03,refactor: function extraction,1810,216,9
f7ba7e5,chore: file renaming,1810,216,9
9903f5c,chore: Introduce rule in Mafile to watch all platforms,1810,216,9
1874d16,refactor: extraction of common utils to plataform agnostic lib,1810,216,9
d8721e8,feat: added master framer transport layer constructor,1810,216,9
5e9119d,refactor: simplification,1810,216,9
7ec97bc,test: added avr datalink transaction test,1810,216,9
6e7784b,chore: Added Makefile rule watch & upload to avr,766,0,9
2143d3f,feat: introduced datalink transact,766,0,9
2823681,doc,766,0,9
900231f,chore: added a division marker into Makefile output,766,0,9
7eb9637,feat: introduced cmpp transact function,766,0,9
8377411,refact: type renaming,766,0,9
cf939aa,test: Add unit test,766,0,9
000d986,refact: decoder us using type frame2 instead of DataSegment,766,0,9
3485a77,refactor: type mapping from SegmentResult to frame2,766,0,9
addb135,feat: introduced new frame type,766,0,9
aa6b56d,refactor: checksum calc,766,0,9
f7765df,refactor: extracted transact,766,0,9
0015d0e,test: add unit test,766,0,9
c67f960,refactor: extracting datalink transact to platform agnostic code,766,0,9
2d99e0f,chore: added watch_avr to makefile,766,0,9
755711a,feat: introduced mocked serial connection,766,0,9
18261e3,feat: introduced Array type,766,0,9
db416ba,fix: removed macro constructor for ringbuffer,766,0,9
6addbb5,refactor: ring buffer now is generic,766,0,9
82ae52d,feat: Add ring buffer (circular buffer),766,0,9
0359494,fix: removed compiler warnings,766,0,9
dac4b3b,refactor: extracted generic serial connection interface,766,0,9
596d921,fix: by principle 'Segment decoder' must also return start_byte,766,0,9
0cae1be,make it compile,766,0,9
94eb5f9,naming convention,766,0,9
ba73475,feat: introduced cmpp00lg casting,766,0,9
bbe8274,chore: removed compiler warnings,2158,0,9
4a165a4,refactor: function and module extraction,2158,0,9
e668ad1,refactor: module extraction,2158,0,9
f2d0d80,Merge branch 'transact_refactor' into dev,2158,0,9
d321c52,function extraction,2158,0,9
dbedc35,errata,2200,220,9
f74ce8e,function extraction,2200,220,9
089a9ed,removed unnecessary output,2200,220,9
88be50b,refactor: file renamed,2196,244,9
1478712,feat: added timeout to frame communication,2196,244,9
98a84d9,feat: introduced datalink transaction,2054,236,9
8136d75,refactor: StartByte type extraction,1184,0,14
b1476cb,fix: implemented checksum in decoder algorithm,1184,0,14
2920e78,fix: unnecessary cloning,1184,0,14
90a33fb,fix: introduced checksum calc routine,1184,0,14
e176b97,refactor: file renaming,1184,0,14
85d1496,refactor: insertion & renaming,1184,0,14
d41e784,refactor: file renamed,1184,0,14
1397fc0,refactor: old file removed,1184,0,14
057a4cf,refactor: completely refactored the datalink layer,1184,0,14
